"Country","Variables","Values"
"Congo Republic","C1_Security_Apparatus",6.7
"Congo Republic","C2_Factionalized_Elites",6.7
"Congo Republic","C3_Group_Grievance",6
"Iran","C1_Security_Apparatus",8.6
"Iran","C2_Factionalized_Elites",9.4
"Iran","C3_Group_Grievance",8.8
"Mali","C1_Security_Apparatus",8.1
"Mali","C2_Factionalized_Elites",5
"Mali","C3_Group_Grievance",7.6
"Rwanda","C1_Security_Apparatus",5.5
"Rwanda","C2_Factionalized_Elites",8.2
"Rwanda","C3_Group_Grievance",8.2
"Malawi","C1_Security_Apparatus",5
"Malawi","C2_Factionalized_Elites",7.6
"Malawi","C3_Group_Grievance",5.7
"Cambodia","C1_Security_Apparatus",6.2
"Cambodia","C2_Factionalized_Elites",8
"Cambodia","C3_Group_Grievance",7
"Togo","C1_Security_Apparatus",7.4
"Togo","C2_Factionalized_Elites",7.5
"Togo","C3_Group_Grievance",4.8
"Angola","C1_Security_Apparatus",6.1
"Angola","C2_Factionalized_Elites",7.3
"Angola","C3_Group_Grievance",6.8
"Uzbekistan","C1_Security_Apparatus",7.9
"Uzbekistan","C2_Factionalized_Elites",8.7
"Uzbekistan","C3_Group_Grievance",7.5
"Zambia","C1_Security_Apparatus",5
"Zambia","C2_Factionalized_Elites",5.7
"Zambia","C3_Group_Grievance",6
"Lebanon","C1_Security_Apparatus",8.5
"Lebanon","C2_Factionalized_Elites",9.2
"Lebanon","C3_Group_Grievance",8.5
"Equatorial Guinea","C1_Security_Apparatus",7.5
"Equatorial Guinea","C2_Factionalized_Elites",8.2
"Equatorial Guinea","C3_Group_Grievance",6.6
"Kyrgyz Republic","C1_Security_Apparatus",7.4
"Kyrgyz Republic","C2_Factionalized_Elites",8
"Kyrgyz Republic","C3_Group_Grievance",8.4
"Swaziland","C1_Security_Apparatus",6
"Swaziland","C2_Factionalized_Elites",7
"Swaziland","C3_Group_Grievance",3.6
"Djibouti","C1_Security_Apparatus",6.6
"Djibouti","C2_Factionalized_Elites",7.5
"Djibouti","C3_Group_Grievance",6.2
"Solomon Islands","C1_Security_Apparatus",6.7
"Solomon Islands","C2_Factionalized_Elites",8
"Solomon Islands","C3_Group_Grievance",6.8
"Tajikistan","C1_Security_Apparatus",7.4
"Tajikistan","C2_Factionalized_Elites",8.3
"Tajikistan","C3_Group_Grievance",6.7
"Papua New Guinea","C1_Security_Apparatus",6.6
"Papua New Guinea","C2_Factionalized_Elites",7.1
"Papua New Guinea","C3_Group_Grievance",6.6
"Libya","C1_Security_Apparatus",8.9
"Libya","C2_Factionalized_Elites",8
"Libya","C3_Group_Grievance",7.4
"Georgia","C1_Security_Apparatus",7.9
"Georgia","C2_Factionalized_Elites",9.4
"Georgia","C3_Group_Grievance",8
"Comoros","C1_Security_Apparatus",7.5
"Comoros","C2_Factionalized_Elites",7.5
"Comoros","C3_Group_Grievance",5.3
"Colombia","C1_Security_Apparatus",6.8
"Colombia","C2_Factionalized_Elites",7.7
"Colombia","C3_Group_Grievance",7.5
"Laos","C1_Security_Apparatus",6.6
"Laos","C2_Factionalized_Elites",8.3
"Laos","C3_Group_Grievance",6.1
"Mozambique","C1_Security_Apparatus",6.5
"Mozambique","C2_Factionalized_Elites",5.6
"Mozambique","C3_Group_Grievance",4.9
"Philippines","C1_Security_Apparatus",8.7
"Philippines","C2_Factionalized_Elites",8
"Philippines","C3_Group_Grievance",7.9
"Madagascar","C1_Security_Apparatus",7
"Madagascar","C2_Factionalized_Elites",7.5
"Madagascar","C3_Group_Grievance",4.9
"Bhutan","C1_Security_Apparatus",5.6
"Bhutan","C2_Factionalized_Elites",7.5
"Bhutan","C3_Group_Grievance",7.3
"Gambia","C1_Security_Apparatus",5.5
"Gambia","C2_Factionalized_Elites",6.8
"Gambia","C3_Group_Grievance",3.7
"Senegal","C1_Security_Apparatus",6.2
"Senegal","C2_Factionalized_Elites",6.6
"Senegal","C3_Group_Grievance",6.3
"Tanzania","C1_Security_Apparatus",5.5
"Tanzania","C2_Factionalized_Elites",5.7
"Tanzania","C3_Group_Grievance",6
"China","C1_Security_Apparatus",6.5
"China","C2_Factionalized_Elites",7.2
"China","C3_Group_Grievance",8.3
"Bolivia","C1_Security_Apparatus",6.7
"Bolivia","C2_Factionalized_Elites",8
"Bolivia","C3_Group_Grievance",7.1
"Fiji","C1_Security_Apparatus",7
"Fiji","C2_Factionalized_Elites",7.9
"Fiji","C3_Group_Grievance",7.3
"Israel and West Bank","C1_Security_Apparatus",7.1
"Israel and West Bank","C2_Factionalized_Elites",8.1
"Israel and West Bank","C3_Group_Grievance",9.8
"Guatemala","C1_Security_Apparatus",7
"Guatemala","C2_Factionalized_Elites",6
"Guatemala","C3_Group_Grievance",7.3
"Lesotho","C1_Security_Apparatus",5.2
"Lesotho","C2_Factionalized_Elites",7
"Lesotho","C3_Group_Grievance",4.7
"Nicaragua","C1_Security_Apparatus",5.6
"Nicaragua","C2_Factionalized_Elites",6.8
"Nicaragua","C3_Group_Grievance",5.9
"Algeria","C1_Security_Apparatus",7.4
"Algeria","C2_Factionalized_Elites",7.3
"Algeria","C3_Group_Grievance",7.8
"Ecuador","C1_Security_Apparatus",6.7
"Ecuador","C2_Factionalized_Elites",8.2
"Ecuador","C3_Group_Grievance",7.2
"Honduras","C1_Security_Apparatus",6.8
"Honduras","C2_Factionalized_Elites",6.3
"Honduras","C3_Group_Grievance",5.8
"Azerbaijan","C1_Security_Apparatus",6.9
"Azerbaijan","C2_Factionalized_Elites",7.8
"Azerbaijan","C3_Group_Grievance",6.9
"Indonesia","C1_Security_Apparatus",6.8
"Indonesia","C2_Factionalized_Elites",7
"Indonesia","C3_Group_Grievance",7.3
"Benin","C1_Security_Apparatus",5.8
"Benin","C2_Factionalized_Elites",6.1
"Benin","C3_Group_Grievance",3.6
"India","C1_Security_Apparatus",7.8
"India","C2_Factionalized_Elites",6.8
"India","C3_Group_Grievance",8.2
"Russia","C1_Security_Apparatus",8.5
"Russia","C2_Factionalized_Elites",8
"Russia","C3_Group_Grievance",8.2
"Belarus","C1_Security_Apparatus",6.3
"Belarus","C2_Factionalized_Elites",8.3
"Belarus","C3_Group_Grievance",6.8
"Turkmenistan","C1_Security_Apparatus",7.1
"Turkmenistan","C2_Factionalized_Elites",7.7
"Turkmenistan","C3_Group_Grievance",6.7
"Bosnia and Herzegovina","C1_Security_Apparatus",6.4
"Bosnia and Herzegovina","C2_Factionalized_Elites",8.7
"Bosnia and Herzegovina","C3_Group_Grievance",7.7
"Moldova","C1_Security_Apparatus",7.2
"Moldova","C2_Factionalized_Elites",7.7
"Moldova","C3_Group_Grievance",6
"Tunisia","C1_Security_Apparatus",7.2
"Tunisia","C2_Factionalized_Elites",7.8
"Tunisia","C3_Group_Grievance",7.8
"Turkey","C1_Security_Apparatus",7.9
"Turkey","C2_Factionalized_Elites",7.3
"Turkey","C3_Group_Grievance",9
"Jordan","C1_Security_Apparatus",5.8
"Jordan","C2_Factionalized_Elites",6.8
"Jordan","C3_Group_Grievance",7.1
"Maldives","C1_Security_Apparatus",5.8
"Maldives","C2_Factionalized_Elites",8
"Maldives","C3_Group_Grievance",4.9
"Venezuela","C1_Security_Apparatus",6.5
"Venezuela","C2_Factionalized_Elites",7.3
"Venezuela","C3_Group_Grievance",6.4
"Thailand","C1_Security_Apparatus",7.8
"Thailand","C2_Factionalized_Elites",8.8
"Thailand","C3_Group_Grievance",8.1
"Sao Tome and Principe","C1_Security_Apparatus",5.8
"Sao Tome and Principe","C2_Factionalized_Elites",6.3
"Sao Tome and Principe","C3_Group_Grievance",4.8
"Serbia","C1_Security_Apparatus",6.5
"Serbia","C2_Factionalized_Elites",8
"Serbia","C3_Group_Grievance",8
"Morocco","C1_Security_Apparatus",6.3
"Morocco","C2_Factionalized_Elites",6.6
"Morocco","C3_Group_Grievance",6.5
"Cape Verde","C1_Security_Apparatus",5.7
"Cape Verde","C2_Factionalized_Elites",5.5
"Cape Verde","C3_Group_Grievance",4.2
"Dominican Republic","C1_Security_Apparatus",5.2
"Dominican Republic","C2_Factionalized_Elites",6.5
"Dominican Republic","C3_Group_Grievance",6.1
"El Salvador","C1_Security_Apparatus",6.4
"El Salvador","C2_Factionalized_Elites",4.3
"El Salvador","C3_Group_Grievance",5.7
"Mexico","C1_Security_Apparatus",7.9
"Mexico","C2_Factionalized_Elites",5.2
"Mexico","C3_Group_Grievance",6.1
"Vietnam","C1_Security_Apparatus",5.4
"Vietnam","C2_Factionalized_Elites",6.9
"Vietnam","C3_Group_Grievance",5.7
"Gabon","C1_Security_Apparatus",5.4
"Gabon","C2_Factionalized_Elites",7.1
"Gabon","C3_Group_Grievance",3.3
"Micronesia","C1_Security_Apparatus",5.4
"Micronesia","C2_Factionalized_Elites",5.6
"Micronesia","C3_Group_Grievance",4.2
"Cuba","C1_Security_Apparatus",6.3
"Cuba","C2_Factionalized_Elites",6.9
"Cuba","C3_Group_Grievance",4.8
"Saudi Arabia","C1_Security_Apparatus",7.2
"Saudi Arabia","C2_Factionalized_Elites",8
"Saudi Arabia","C3_Group_Grievance",7.4
"Peru","C1_Security_Apparatus",7
"Peru","C2_Factionalized_Elites",6.7
"Peru","C3_Group_Grievance",7
"Paraguay","C1_Security_Apparatus",6.1
"Paraguay","C2_Factionalized_Elites",7.9
"Paraguay","C3_Group_Grievance",6.5
"Armenia","C1_Security_Apparatus",5.3
"Armenia","C2_Factionalized_Elites",7
"Armenia","C3_Group_Grievance",5.7
"Suriname","C1_Security_Apparatus",5.8
"Suriname","C2_Factionalized_Elites",5.8
"Suriname","C3_Group_Grievance",6.1
"Guyana","C1_Security_Apparatus",5.8
"Guyana","C2_Factionalized_Elites",5.1
"Guyana","C3_Group_Grievance",5.9
"Namibia","C1_Security_Apparatus",4.9
"Namibia","C2_Factionalized_Elites",3.5
"Namibia","C3_Group_Grievance",5.3
"Kazakhstan","C1_Security_Apparatus",6.4
"Kazakhstan","C2_Factionalized_Elites",7.7
"Kazakhstan","C3_Group_Grievance",6.2
"Ghana","C1_Security_Apparatus",3.8
"Ghana","C2_Factionalized_Elites",5
"Ghana","C3_Group_Grievance",4.9
"Samoa","C1_Security_Apparatus",5.5
"Samoa","C2_Factionalized_Elites",5.1
"Samoa","C3_Group_Grievance",4.8
"Macedonia","C1_Security_Apparatus",6
"Macedonia","C2_Factionalized_Elites",7
"Macedonia","C3_Group_Grievance",7.8
"South Africa","C1_Security_Apparatus",5.1
"South Africa","C2_Factionalized_Elites",5.6
"South Africa","C3_Group_Grievance",5.7
"Belize","C1_Security_Apparatus",5.5
"Belize","C2_Factionalized_Elites",4.3
"Belize","C3_Group_Grievance",4.4
"Cyprus","C1_Security_Apparatus",5
"Cyprus","C2_Factionalized_Elites",7.9
"Cyprus","C3_Group_Grievance",7.3
"Malaysia","C1_Security_Apparatus",6
"Malaysia","C2_Factionalized_Elites",6.8
"Malaysia","C3_Group_Grievance",6.1
"Ukraine","C1_Security_Apparatus",4.4
"Ukraine","C2_Factionalized_Elites",8
"Ukraine","C3_Group_Grievance",5.9
"Jamaica","C1_Security_Apparatus",6.3
"Jamaica","C2_Factionalized_Elites",3.7
"Jamaica","C3_Group_Grievance",4
"Albania","C1_Security_Apparatus",5.5
"Albania","C2_Factionalized_Elites",6.3
"Albania","C3_Group_Grievance",4.8
"Grenada","C1_Security_Apparatus",5.3
"Grenada","C2_Factionalized_Elites",5.6
"Grenada","C3_Group_Grievance",3.9
"Botswana","C1_Security_Apparatus",3.5
"Botswana","C2_Factionalized_Elites",3.3
"Botswana","C3_Group_Grievance",4.8
"Seychelles","C1_Security_Apparatus",6.4
"Seychelles","C2_Factionalized_Elites",5.7
"Seychelles","C3_Group_Grievance",4.8
"Brunei Darussalam","C1_Security_Apparatus",5.6
"Brunei Darussalam","C2_Factionalized_Elites",7.4
"Brunei Darussalam","C3_Group_Grievance",6.2
"Bahrain","C1_Security_Apparatus",6.1
"Bahrain","C2_Factionalized_Elites",7.1
"Bahrain","C3_Group_Grievance",7.3
"Trinidad and Tobago","C1_Security_Apparatus",5.7
"Trinidad and Tobago","C2_Factionalized_Elites",5.6
"Trinidad and Tobago","C3_Group_Grievance",4.4
"Brazil","C1_Security_Apparatus",5.9
"Brazil","C2_Factionalized_Elites",4.9
"Brazil","C3_Group_Grievance",5.9
"Kuwait","C1_Security_Apparatus",4.4
"Kuwait","C2_Factionalized_Elites",7.9
"Kuwait","C3_Group_Grievance",4.6
"Antigua and Barbuda","C1_Security_Apparatus",4.9
"Antigua and Barbuda","C2_Factionalized_Elites",3.7
"Antigua and Barbuda","C3_Group_Grievance",4.1
"Mongolia","C1_Security_Apparatus",4.4
"Mongolia","C2_Factionalized_Elites",5.5
"Mongolia","C3_Group_Grievance",3.7
"Romania","C1_Security_Apparatus",4.1
"Romania","C2_Factionalized_Elites",5.2
"Romania","C3_Group_Grievance",6.3
"Panama","C1_Security_Apparatus",5.1
"Panama","C2_Factionalized_Elites",2.5
"Panama","C3_Group_Grievance",5
"Bulgaria","C1_Security_Apparatus",4.7
"Bulgaria","C2_Factionalized_Elites",5.3
"Bulgaria","C3_Group_Grievance",4.6
"Bahamas","C1_Security_Apparatus",4.3
"Bahamas","C2_Factionalized_Elites",4.5
"Bahamas","C3_Group_Grievance",4.4
"Montenegro","C1_Security_Apparatus",4.6
"Montenegro","C2_Factionalized_Elites",6.2
"Montenegro","C3_Group_Grievance",6.5
"Croatia","C1_Security_Apparatus",4.8
"Croatia","C2_Factionalized_Elites",4.4
"Croatia","C3_Group_Grievance",5.3
"Oman","C1_Security_Apparatus",5.3
"Oman","C2_Factionalized_Elites",6.6
"Oman","C3_Group_Grievance",2.7
"Barbados","C1_Security_Apparatus",4.2
"Barbados","C2_Factionalized_Elites",4.2
"Barbados","C3_Group_Grievance",4.4
"Greece","C1_Security_Apparatus",3.9
"Greece","C2_Factionalized_Elites",3
"Greece","C3_Group_Grievance",4.8
"Costa Rica","C1_Security_Apparatus",2.5
"Costa Rica","C2_Factionalized_Elites",3.8
"Costa Rica","C3_Group_Grievance",4.1
"Latvia","C1_Security_Apparatus",3.3
"Latvia","C2_Factionalized_Elites",4.3
"Latvia","C3_Group_Grievance",5.4
"Hungary","C1_Security_Apparatus",2.3
"Hungary","C2_Factionalized_Elites",4.8
"Hungary","C3_Group_Grievance",4.1
"United Arab Emirates","C1_Security_Apparatus",2.9
"United Arab Emirates","C2_Factionalized_Elites",3.6
"United Arab Emirates","C3_Group_Grievance",4.3
"Qatar","C1_Security_Apparatus",2.5
"Qatar","C2_Factionalized_Elites",5
"Qatar","C3_Group_Grievance",4.9
"Argentina","C1_Security_Apparatus",3
"Argentina","C2_Factionalized_Elites",2.7
"Argentina","C3_Group_Grievance",5
"Estonia","C1_Security_Apparatus",2.9
"Estonia","C2_Factionalized_Elites",5.5
"Estonia","C3_Group_Grievance",5.9
"Slovak Republic","C1_Security_Apparatus",2.3
"Slovak Republic","C2_Factionalized_Elites",3.7
"Slovak Republic","C3_Group_Grievance",5
"Italy","C1_Security_Apparatus",5
"Italy","C2_Factionalized_Elites",4.8
"Italy","C3_Group_Grievance",4.7
"Mauritius","C1_Security_Apparatus",3.3
"Mauritius","C2_Factionalized_Elites",3.2
"Mauritius","C3_Group_Grievance",3.5
"Spain","C1_Security_Apparatus",4.1
"Spain","C2_Factionalized_Elites",6
"Spain","C3_Group_Grievance",5.8
"Lithuania","C1_Security_Apparatus",2.5
"Lithuania","C2_Factionalized_Elites",3
"Lithuania","C3_Group_Grievance",3.7
"Malta","C1_Security_Apparatus",3.7
"Malta","C2_Factionalized_Elites",2
"Malta","C3_Group_Grievance",4
"Chile","C1_Security_Apparatus",2.9
"Chile","C2_Factionalized_Elites",1.4
"Chile","C3_Group_Grievance",3.5
"Poland","C1_Security_Apparatus",2.5
"Poland","C2_Factionalized_Elites",3.6
"Poland","C3_Group_Grievance",3.8
"Czech Republic","C1_Security_Apparatus",2.1
"Czech Republic","C2_Factionalized_Elites",4.2
"Czech Republic","C3_Group_Grievance",3.8
"Uruguay","C1_Security_Apparatus",3.7
"Uruguay","C2_Factionalized_Elites",2.7
"Uruguay","C3_Group_Grievance",2.8
"Japan","C1_Security_Apparatus",1.7
"Japan","C2_Factionalized_Elites",2.6
"Japan","C3_Group_Grievance",3.8
"South Korea","C1_Security_Apparatus",2.1
"South Korea","C2_Factionalized_Elites",3.6
"South Korea","C3_Group_Grievance",3.1
"Singapore","C1_Security_Apparatus",1.5
"Singapore","C2_Factionalized_Elites",4
"Singapore","C3_Group_Grievance",2.7
"United States","C1_Security_Apparatus",2.2
"United States","C2_Factionalized_Elites",3.9
"United States","C3_Group_Grievance",4.2
"United Kingdom","C1_Security_Apparatus",2.7
"United Kingdom","C2_Factionalized_Elites",3.5
"United Kingdom","C3_Group_Grievance",5
"France","C1_Security_Apparatus",2.3
"France","C2_Factionalized_Elites",1.9
"France","C3_Group_Grievance",5.9
"Portugal","C1_Security_Apparatus",1.6
"Portugal","C2_Factionalized_Elites",1.3
"Portugal","C3_Group_Grievance",2.3
"Slovenia","C1_Security_Apparatus",2.5
"Slovenia","C2_Factionalized_Elites",1.6
"Slovenia","C3_Group_Grievance",3.3
"Belgium","C1_Security_Apparatus",2
"Belgium","C2_Factionalized_Elites",3.9
"Belgium","C3_Group_Grievance",4.1
"Germany","C1_Security_Apparatus",2.2
"Germany","C2_Factionalized_Elites",2
"Germany","C3_Group_Grievance",4.3
"Austria","C1_Security_Apparatus",1.1
"Austria","C2_Factionalized_Elites",2.7
"Austria","C3_Group_Grievance",4.3
"Netherlands","C1_Security_Apparatus",1.8
"Netherlands","C2_Factionalized_Elites",2.6
"Netherlands","C3_Group_Grievance",4.1
"Canada","C1_Security_Apparatus",1.8
"Canada","C2_Factionalized_Elites",2.5
"Canada","C3_Group_Grievance",3.1
"Australia","C1_Security_Apparatus",1.7
"Australia","C2_Factionalized_Elites",1.6
"Australia","C3_Group_Grievance",3.6
"Ireland","C1_Security_Apparatus",1.8
"Ireland","C2_Factionalized_Elites",1.3
"Ireland","C3_Group_Grievance",1.6
"Iceland","C1_Security_Apparatus",1
"Iceland","C2_Factionalized_Elites",1.8
"Iceland","C3_Group_Grievance",1
"Luxembourg","C1_Security_Apparatus",2.3
"Luxembourg","C2_Factionalized_Elites",3.4
"Luxembourg","C3_Group_Grievance",2.8
"New Zealand","C1_Security_Apparatus",1.1
"New Zealand","C2_Factionalized_Elites",1.1
"New Zealand","C3_Group_Grievance",3.5
"Denmark","C1_Security_Apparatus",1.5
"Denmark","C2_Factionalized_Elites",1.4
"Denmark","C3_Group_Grievance",3.4
"Norway","C1_Security_Apparatus",2.7
"Norway","C2_Factionalized_Elites",1.1
"Norway","C3_Group_Grievance",3.6
"Switzerland","C1_Security_Apparatus",1.4
"Switzerland","C2_Factionalized_Elites",1
"Switzerland","C3_Group_Grievance",3.5
"Sweden","C1_Security_Apparatus",2.2
"Sweden","C2_Factionalized_Elites",1.8
"Sweden","C3_Group_Grievance",1
"Finland","C1_Security_Apparatus",1
"Finland","C2_Factionalized_Elites",1.1
"Finland","C3_Group_Grievance",1.4
